strategy_id,basket_id,entry_index,entry_date,ticker,name,rank,market_state,entry_signal,role,position_grade,planned_entry_capital,entry_price,shares,actual_cost,unused_cash,atr20_at_entry,initial_stop,highest_close_since_entry,trailing_stop,exit_model,exit_date,exit_price,exit_reason,holding_days,current_price,current_value,realized_pnl,unrealized_pnl,gross_pnl,gross_return_pct,estimated_buy_fee,estimated_sell_fee,estimated_tax,estimated_net_pnl,max_profit_seen,max_drawdown_seen,r_multiple,data_quality_flag,data_quality_note,is_immature,next_1d_return,next_3d_return,post_exit_max_return,post_exit_high_after_exit,days_to_post_exit_high,post_trade_label
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-05_5D,1,2026-05-05,3711.TW,日月光投控,Top1,BULL,BUY,,B,100000.0,520.0,192,99840.0,160.0,26.125,480.81,555.0,502.75,ATR_TRAILING,2026-05-19,472.0,ATR_TRAILING_STOP,10,472.0,90624.0,-9216.0,,-9216.0,-9.2308,142.27,129.14,271.87,-9759.28,6720.0,-9216.0,-1.225,PASS,,False,0.007692,-0.007692,0.307203,617.0,4,ATR_TOO_TIGHT
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-05_5D,2,2026-05-07,3711.TW,日月光投控,Top1,RANGE,BUY,,B,100000.0,540.0,185,99900.0,100.0,27.025,499.46,555.0,500.95,ATR_TRAILING,2026-05-19,472.0,ATR_TRAILING_STOP,8,472.0,87320.0,-12580.0,,-12580.0,-12.5926,142.36,124.43,261.96,-13108.75,2775.0,-12580.0,-1.677,PASS,,False,-0.044444,0.027778,0.307203,617.0,4,ATR_TOO_TIGHT
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-05_5D,3,2026-05-08,2464.TW,盟立,Top1,RANGE,BUY,,B,100000.0,122.0,819,99918.0,82.0,7.24,111.14,139.0,124.52,ATR_TRAILING,2026-05-20,124.5,ATR_TRAILING_STOP,8,124.5,101965.5,2047.5,,2047.5,2.0492,142.38,145.3,305.9,1453.92,13923.0,-7780.5,0.23,PASS,,False,-0.016393,-0.077869,0.393574,173.5,4,ATR_TOO_TIGHT
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-05_5D,4,2026-05-11,2464.TW,盟立,Top1,BULL,BUY,WAVE_SWING,B,100000.0,120.0,833,99960.0,40.0,7.825,108.26,173.5,157.85,ATR_TRAILING,,,OPEN_POSITION,11,173.5,144525.5,,44565.5,44565.5,44.5833,142.44,205.95,433.58,43783.53,44565.5,-6247.5,4.557,PASS,,False,-0.016667,-0.041667,,,,OPEN_WINNER
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-05_5D,5,2026-05-12,3711.TW,日月光投控,Top1,RANGE,BUY,CORE,A,100000.0,555.0,180,99900.0,100.0,28.875,511.69,555.0,497.25,ATR_TRAILING,2026-05-19,472.0,ATR_TRAILING_STOP,5,472.0,84960.0,-14940.0,,-14940.0,-14.955,142.36,121.07,254.88,-15458.31,0.0,-14940.0,-1.916,PASS,,False,-0.012613,-0.014414,0.307203,617.0,4,ATR_TOO_TIGHT
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-07_5D,1,2026-05-07,3711.TW,日月光投控,Top1,RANGE,BUY,,B,100000.0,540.0,185,99900.0,100.0,27.025,499.46,555.0,500.95,ATR_TRAILING,2026-05-19,472.0,ATR_TRAILING_STOP,8,472.0,87320.0,-12580.0,,-12580.0,-12.5926,142.36,124.43,261.96,-13108.75,2775.0,-12580.0,-1.677,PASS,,False,-0.044444,0.027778,0.307203,617.0,4,ATR_TOO_TIGHT
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-07_5D,2,2026-05-08,2464.TW,盟立,Top1,RANGE,BUY,,B,100000.0,122.0,819,99918.0,82.0,7.24,111.14,139.0,124.52,ATR_TRAILING,2026-05-20,124.5,ATR_TRAILING_STOP,8,124.5,101965.5,2047.5,,2047.5,2.0492,142.38,145.3,305.9,1453.92,13923.0,-7780.5,0.23,PASS,,False,-0.016393,-0.077869,0.393574,173.5,4,ATR_TOO_TIGHT
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-07_5D,3,2026-05-11,2464.TW,盟立,Top1,BULL,BUY,WAVE_SWING,B,100000.0,120.0,833,99960.0,40.0,7.825,108.26,173.5,157.85,ATR_TRAILING,,,OPEN_POSITION,11,173.5,144525.5,,44565.5,44565.5,44.5833,142.44,205.95,433.58,43783.53,44565.5,-6247.5,4.557,PASS,,False,-0.016667,-0.041667,,,,OPEN_WINNER
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-07_5D,4,2026-05-12,3711.TW,日月光投控,Top1,RANGE,BUY,CORE,A,100000.0,555.0,180,99900.0,100.0,28.875,511.69,555.0,497.25,ATR_TRAILING,2026-05-19,472.0,ATR_TRAILING_STOP,5,472.0,84960.0,-14940.0,,-14940.0,-14.955,142.36,121.07,254.88,-15458.31,0.0,-14940.0,-1.916,PASS,,False,-0.012613,-0.014414,0.307203,617.0,4,ATR_TOO_TIGHT
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-07_5D,5,2026-05-13,2356.TW,英業達,Top1,RANGE,BUY,WAVE_SWING,B,100000.0,52.8,1893,99950.4,49.6,1.7125,50.23,65.4,61.98,ATR_TRAILING,,,OPEN_POSITION,9,62.6,118501.8,,18551.4,18551.4,18.5606,142.43,168.87,355.51,17884.59,23851.8,-2650.2,3.813,PASS,,False,0.007576,-0.017045,,,,OPEN_WINNER
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-08_5D,1,2026-05-08,2464.TW,盟立,Top1,RANGE,BUY,,B,100000.0,122.0,819,99918.0,82.0,7.24,111.14,139.0,124.52,ATR_TRAILING,2026-05-20,124.5,ATR_TRAILING_STOP,8,124.5,101965.5,2047.5,,2047.5,2.0492,142.38,145.3,305.9,1453.92,13923.0,-7780.5,0.23,PASS,,False,-0.016393,-0.077869,0.393574,173.5,4,ATR_TOO_TIGHT
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-08_5D,2,2026-05-11,2464.TW,盟立,Top1,BULL,BUY,WAVE_SWING,B,100000.0,120.0,833,99960.0,40.0,7.825,108.26,173.5,157.85,ATR_TRAILING,,,OPEN_POSITION,11,173.5,144525.5,,44565.5,44565.5,44.5833,142.44,205.95,433.58,43783.53,44565.5,-6247.5,4.557,PASS,,False,-0.016667,-0.041667,,,,OPEN_WINNER
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-08_5D,3,2026-05-12,3711.TW,日月光投控,Top1,RANGE,BUY,CORE,A,100000.0,555.0,180,99900.0,100.0,28.875,511.69,555.0,497.25,ATR_TRAILING,2026-05-19,472.0,ATR_TRAILING_STOP,5,472.0,84960.0,-14940.0,,-14940.0,-14.955,142.36,121.07,254.88,-15458.31,0.0,-14940.0,-1.916,PASS,,False,-0.012613,-0.014414,0.307203,617.0,4,ATR_TOO_TIGHT
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-08_5D,4,2026-05-13,2356.TW,英業達,Top1,RANGE,BUY,WAVE_SWING,B,100000.0,52.8,1893,99950.4,49.6,1.7125,50.23,65.4,61.98,ATR_TRAILING,,,OPEN_POSITION,9,62.6,118501.8,,18551.4,18551.4,18.5606,142.43,168.87,355.51,17884.59,23851.8,-2650.2,3.813,PASS,,False,0.007576,-0.017045,,,,OPEN_WINNER
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-08_5D,5,2026-05-14,3413.TW,京鼎,Top1,RANGE,BUY,UNKNOWN,A,100000.0,321.0,311,99831.0,169.0,12.225,302.66,349.0,324.55,ATR_TRAILING,,,OPEN_POSITION,8,346.0,107606.0,,7775.0,7775.0,7.7882,142.26,153.34,322.82,7156.58,8708.0,-2177.0,1.363,PASS,,False,0.014019,-0.020249,,,,OPEN_WINNER
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-11_5D,1,2026-05-11,2464.TW,盟立,Top1,BULL,BUY,WAVE_SWING,B,100000.0,120.0,833,99960.0,40.0,7.825,108.26,173.5,157.85,ATR_TRAILING,,,OPEN_POSITION,11,173.5,144525.5,,44565.5,44565.5,44.5833,142.44,205.95,433.58,43783.53,44565.5,-6247.5,4.557,PASS,,False,-0.016667,-0.041667,,,,OPEN_WINNER
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-11_5D,2,2026-05-12,3711.TW,日月光投控,Top1,RANGE,BUY,CORE,A,100000.0,555.0,180,99900.0,100.0,28.875,511.69,555.0,497.25,ATR_TRAILING,2026-05-19,472.0,ATR_TRAILING_STOP,5,472.0,84960.0,-14940.0,,-14940.0,-14.955,142.36,121.07,254.88,-15458.31,0.0,-14940.0,-1.916,PASS,,False,-0.012613,-0.014414,0.307203,617.0,4,ATR_TOO_TIGHT
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-11_5D,3,2026-05-13,2356.TW,英業達,Top1,RANGE,BUY,WAVE_SWING,B,100000.0,52.8,1893,99950.4,49.6,1.7125,50.23,65.4,61.98,ATR_TRAILING,,,OPEN_POSITION,9,62.6,118501.8,,18551.4,18551.4,18.5606,142.43,168.87,355.51,17884.59,23851.8,-2650.2,3.813,PASS,,False,0.007576,-0.017045,,,,OPEN_WINNER
ROLLING_FIVE_DAY_TOP1_ATR_DIAGNOSIS_v0_1,2026-05-11_5D,4,2026-05-14,3413.TW,京鼎,Top1,RANGE,BUY,UNKNOWN,A,100000.0,321.0,311,99831.0,169.0,12.225,302.66,349.0,324.55,ATR_TRAILING,,,OPEN_POSITION,8,346.0,107606.0,,7775.0,7775.0,7.7882,142.26,153.34,322.82,7156.58,8708.0,-2177.0,1.363,PASS,,False,0.014019,-0.020249,,,,OPEN_WINNER
